,text
0,Tự nhiên nhớ đến linhka và nghe lại bài này của linhka sau 5 năm
1,ủa nhưng mà kênh yt chính của Linh Ka giờ không còn nữa đk ta
2,lạy trời lạy phật để hương Tràm học mau mau về nhà đón Tết thì hay lắm rồi
3,Bx hát hay quá
4,"Nói chứ bé này xinh á. Tương lai trẻ lâu nè. Giống chị Hà Mi Sắm, trẻ lâu"
5,Như cứt
6,Trang điểm thi lố lăng ô dề hát thì chỉnh giọng giống như hát nhép
7,Mấy đứa ham gái thì kêu hay còn người biết nghe sẽ nhận ra thế nào là  đúng
8,Trang điểm hơi ố dề xấu hát thì cứ như hát nhép ý
9,Hay mà sao chê quá tr v :)?
10,"Dở quá, ăn mặc thì lòe loẹt, giọng dẹo vãi, chỉnh quá nhiều, tặng 1 dislike"
11,hay mà sao lại dis thế? bọn ngớ ngẩn
12,t cũng tưởng m.n chê theo phong trào ai ngờ nghe câu đầu tao dislike mẹ luôn pai m.n tui đi nghe bản gốc đây
13,Chỉnh giọng quá đà 🙏🏻🙏🏻
14,Sao bảo em nóa bị ung thư vếu mà
15,Vd gốc của linh ka đâu z m.n tìm ko thấy
16,"Nghe dở vãi ra, nghe câu đầu thôi đã mắc ẻ, trang điểm như cứt, giọng thì eo ơi kinh khủng"
17,Trang điểm già quá trong khi tuổi vẫn còn trẻ
18,"Cũng may bà Linh Ka giờ chú tâm làm influencer/KOL rồi =))) bả có tài ở mảng đấy, chứ mảng âm nhạc ra mv nào là bị chê lên chê xuống."
19,Ơ hayyyyyy màaa
20,"Dở vãi , trang điểm thì loè loẹt , giọng lên quá lố"
21,2021
22,còn non lắm
23,đồ ca ve
24,Giả tạo
25,hay quá chị nhìn xinh quá
26,Em gái mưa mà chả có tý mưa nào
27,Anh nhà ở đâu thế đâu
28,"Hay lắm chị ơi 
Hóng các MV sau này của chị  💗💗💗"
