,text
0,tôi chưa bao giờ ăn đồ hộp 😂
1,Quá nhiều vụ rồi dell tin đc đâu
2,"Vấn đề thực sự là cơ quan kiểm định không có đủ năng lực kiểm định... Nếu một cơ sở lớn như này có thể vi phạm suốt nhiều năm. Đầu độc cả 1 thế hệ dân tộc VN. Vậy thì còn bao nhiêu cơ sở nhỏ lẻ khác chưa bị khui ra ?

Ở đây, không chỉ mỗi đồ hộp Hạ Long vi phạm... chỉ xử lý mỗi doanh nghiệp này hoàn toàn ko cải thiện đc gốc rễ của vấn đề"
3,phần ngọn nổi của tảng băng chìm. cũng may có tin nội bộ CA mới phát hiện ra chứ ko biết thì mấy chục năm nữa.
4,"Đợt 2019 có bên Đài Loan phát hiện ra mà vụ đó chìm luôn, sau giờ mới vỡ ra vụ này. Vấn đề là tôi cũng ăn pate cột đèn, ăn ngon thật, và trên đó có các chứng chỉ an toàn thực phẩm. Vậy thì ai cấp giấy phép an toàn vệ sinh?"
5,HÊN TÔI KO BAO GIỜ THÍCH ĂN PATE VỚI TẤT CẢ CÁC ĐỒ HỘP
6,Ở Mẽo thì phải đền bù cho người tiêu dùng
7,"loạn hết cả lên...chục năm trước báo có đăng phát hiện 1  cty gia đình ở pháp sản xuất xúc xích , xay cả da ,lông , móng vuốt ....rồi cũng có sao đâu"
8,"đọc báo thấy đăng là đội lãnh đạo người nước ngoài té hết trước rồi, đội người việt lên thay thì vào vòng điều tra...kim thiền thoát xác mất rồi..."
9,Năm ngoái ăn nhiều xém bị mù luôn sợ thật sự 😰😰😰
10,"phân tích hay quá , rất nhiều thông tin , không như các kênh khác"
11,may qá chả ăn quả pate hộp bao giờ
12,"hôm qua ms ăn, hôm nay lên tin..."
13,"Chậm ko công bố là chờ chạy án, nhưng chạy không được nên phải khởi tố thôi"
14,tôi tưởng hạ long canfaco ngày trước bị masan thâu tóm rồi chứ nhỉ
15,"Thanh tra chính phủ cần đào sâu mọi ngóc ngách. Thực trang hiện tại đang rất bất ổn, các cty đang chạy đua lợi nhuận giảm hẳn mặt chất lượng"
16,báo đài loan đã đăng tin từ 2019 cmn vãi l
17,may qua ca nha minh ko an bate
18,chết r hồi trước hay ăn
19,Nó quá tàn ác
20,Tự hủy cực mạnh
21,"Trước sữa giả, thực phẩm chức năng chất lượng kém h thì đồ hộp bẩn 😊 v là cta đã bị ""đầu độc"" bấy lâu nay 😅 ai sẽ phải chịu trách nhiệm và bồi thường cho người tiêu dùng ko hay phải chịu nhỉiii"
22,"Ngày trước mình có làm ở trang trại nuôi heo lớn. Mỗi khi có heo bệnh sắp chết hoặc heo đã chết chỉ cần alo 1 cái, sẽ có 1 bên tới thu mua. Giá mua 300-500k/1 con heo đã trưởng thành tầm 60-100kg. Mình nhớ có 1 câu slogan của trại là ""heo chết rồi, mang lên SG, dân sg ăn toàn heo chết thôi"". Còn nữa các bạn ăn heo sữa ở các quán nhậu, mình khẳng định 90% là heo chết, heo sữa giá rất cao. Cao hơn ngoài thị trường, nên không có vụ heo sữa quay là tươi đâu. 
Có đợt dịch chết nhiều quá gom hết heo chết vào bao, 4-6 xe tải 3-5 tấn đứng ngoài đợi đem lên SG. Từ đó mình không ăn heo ở SG nữa.... sợ!!!"
23,"Phải T.u.H.i.n.h. vì đây là hành vi Cố Tình có Chủ đích : G.i.e.t người hàng loạt ấy. Bảo sao bệnh viện chật kín và trẻ em, người trẻ bây giờ ngày càng ... Trẻ hoá. Và đề nghị pháp luật Việt Nam nên sửa loạt vì mức phạt quá nhẹ. Trong khi mức phạt giao thông thì cao ngất... Phạt gấp 7 lần nên vi phạm tiêu chuẩn mới có 200tr nên các DN và người tham gia ngày càng nhiều"
24,Cứ đồ tươi sốt có nguồn gốc mà ăn
